Speed Left,Speed Right	ð0.00,70.00
0.00,130.00
0.00,120.00
0.00,130.00
0.00,130.00
0.00,120.00
0.00,130.00
0.00,130.00
40.00,100.00
140.00,140.00
160.00,160.00
160.00,160.00
150.00,160.00
160.00,160.00
160.00,150.00
160.00,150.00
160.00,160.00
160.00,160.00
160.00,150.00
160.00,150.00
160.00,160.00
160.00,160.00
160.00,150.00
160.00,150.00
160.00,160.00
160.00,150.00
170.00,150.00
160.00,160.00
160.00,160.00
160.00,140.00
160.00,160.00
170.00,160.00
160.00,140.00
160.00,160.00
160.00,160.00
160.00,140.00
160.00,160.00
160.00,140.00
170.00,160.00
160.00,150.00
170.00,150.00
160.00,160.00
160.00,150.00
160.00,150.00
160.00,160.00
170.00,140.00
160.00,160.00
160.00,150.00
170.00,150.00
160.00,160.00
160.00,140.00
170.00,160.00
160.00,160.00
170.00,150.00
160.00,150.00
160.00,160.00
170.00,140.00
160.00,160.00
170.00,160.00
160.00,150.00
160.00,150.00
160.00,160.00
170.00,150.00
160.00,150.00
170.00,160.00
160.00,150.00
160.00,150.00
170.00,160.00
160.00,160.00
170.00,160.00
160.00,160.00
160.00,160.00
170.00,160.00
160.00,160.00
170.00,150.00
160.00,160.00
160.00,160.00
170.00,160.00
170.00,160.00
160.00,160.00
170.00,160.00
160.00,150.00
170.00,160.00
160.00,160.00
160.00,150.00
170.00,160.00
170.00,160.00
160.00,160.00
160.00,150.00
170.00,150.00
170.00,160.00
160.00,160.00
170.00,160.00
160.00,150.00
170.00,150.00
160.00,160.00
170.00,160.00
160.00,150.00
170.00,150.00
160.00,160.00
160.00,160.00
170.00,150.00
170.00,150.00
160.00,160.00
170.00,140.00
160.00,160.00
170.00,160.00
160.00,150.00
170.00,150.00
170.00,150.00
160.00,150.00
160.00,160.00
170.00,150.00
160.00,150.00
170.00,160.00
160.00,150.00
170.00,150.00
160.00,160.00
170.00,160.00
160.00,160.00
170.00,150.00
170.00,150.00
160.00,160.00
160.00,160.00
170.00,160.00
170.00,160.00
160.00,150.00
160.00,150.00
170.00,160.00
170.00,160.00
160.00,160.00
170.00,160.00
160.00,150.00
170.00,160.00
160.00,150.00
160.00,160.00
170.00,160.00
170.00,160.00
160.00,160.00
160.00,160.00
170.00,160.00
170.00,160.00
160.00,160.00
170.00,160.00
160.00,160.00
170.00,160.00
160.00,160.00
160.00,150.00
170.00,160.00
170.00,160.00
160.00,150.00
160.00,160.00
170.00,160.00
110.00,110.00
